"Path","Length"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\raw\prankstar_header.mp4","7756333"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\raw\prankstar_bot_happy.mp4","6343218"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\raw\prankstar_bot_processing.mp4","4908189"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\raw\prankstar_bg.mp4","4867001"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\drawable\prankstar_core.png","3816878"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\raw\prankstar_boot.mp4","3704592"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\raw\prankstar_bot_confused.mp4","3368329"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\raw\twakbot_excited.mp4","3204039"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\drawable\twak_attack_header.png","3119986"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\raw\prankstar_bot_celebrate.mp4","3010404"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\raw\prankstar_bot_typing.mp4","2910852"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\raw\twakbot_searching.mp4","2710872"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\raw\twakbot_generating.mp4","2648920"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\raw\prankstar_bot_thinking.mp4","2645809"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\raw\prankstar_bot_warning.mp4","2636420"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\mipmap-xxhdpi\ic_launcher_round.png","2563132"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\mipmap-xxxhdpi\ic_launcher.png","2563132"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\mipmap-xxxhdpi\ic_launcher_round.png","2563132"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\mipmap-xxhdpi\ic_launcher.png","2563132"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\mipmap-mdpi\ic_launcher_round.png","2563132"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\mipmap-mdpi\ic_launcher.png","2563132"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\mipmap-hdpi\ic_launcher.png","2563132"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\mipmap-hdpi\ic_launcher_round.png","2563132"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\drawable\prankstar_icon.png","2563132"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\drawable\ic_launcher.png","2563132"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\drawable\ic_launcher_round.png","2563132"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\mipmap-xhdpi\ic_launcher_round.png","2563132"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\mipmap-xhdpi\ic_launcher.png","2563132"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\raw\twakbot_idle.mp4","2515624"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\drawable\header_sound_gen.png","2426408"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\raw\prankstar_bot_wakeup.mp4","2424244"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\drawable\header_sound_stash.png","2389837"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\raw\twakbot_error.mp4","2236248"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\drawable\header_settings.png","2202113"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\drawable\header_joke_gen.png","2160349"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\drawable\prankstar_dock_main.png","2061879"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\raw\prankstar_bot_surprised.mp4","1876413"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\drawable\prankstar_sn1.png","1854872"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\raw\prankstar_bot_ecstatic.mp4","1840586"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\drawable\prankstar_sn2.png","1718139"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\raw\prankstar_bot_angry.mp4","1573682"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\raw\prankstar_bot_sad.mp4","1415747"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\raw\prankstar_bot_powerup.mp4","1382612"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\raw\prankstar_bot_searching.mp4","1348292"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\raw\prankstar_bot_searching2.mp4","1244601"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\raw\prankstar_bot_bored1.mp4","1177187"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\drawable\prankstar_sn3.png","1150727"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\raw\prankstar_bot_relaxed.mp4","1150724"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\raw\prankstar_bot_bored2.mp4","979059"
"C:\Users\Aztr0nutZs\Desktop\prankster-lab-v2\app\src\main\res\raw\prankstar_bot_shutdown.mp4","961200"
